home_club_manager_name,total_win,total_games,win_rate
Viktor Goncharenko,126,161,78.26086956521739
Viktor Kumykov,7,11,63.63636363636363
Viktor Skrypnyk,78,98,79.59183673469387
Vincent Hognon,13,18,72.22222222222221
Vincent Kompany,33,46,71.73913043478261
Vincenzo Italiano,58,75,77.33333333333333
Vincenzo Montella,145,186,77.95698924731182
Vitaliy Kvartsyanyi,50,67,74.6268656716418
Vitaliy Ponomaryov,4,10,40.0
Vitezslav Lavicka,9,13,69.23076923076923
Vladan Milojevic,32,45,71.11111111111111
Vladimir Cheburin,14,24,58.333333333333336
Vladimir Fedotov,80,102,78.43137254901961
Vladimir Gazzaev,10,14,71.42857142857143
Vladimir Ivic,49,57,85.96491228070175
Vladimir Petkovic,42,52,80.76923076923077
Vladimir Weiss,11,19,57.89473684210527
Volkan Demirel,17,24,70.83333333333334
Volodymyr Mazyar,15,17,88.23529411764706
Volodymyr Pyatenko,11,19,57.89473684210527
Volodymyr Sharan,80,112,71.42857142857143
Voro,19,22,86.36363636363636
Vuk Rasovic,8,11,72.72727272727273
Vyacheslav Groznyi,29,46,63.04347826086957
Víctor Fernández,18,27,66.66666666666666
Víctor Sánchez,24,39,61.53846153846154
Vítor Campelos,24,33,72.72727272727273
Vítor Oliveira,41,53,77.35849056603774
Vítor Pereira,59,73,80.82191780821918
Walter Mazzarri,108,138,78.26086956521739
Walter Zenga,17,25,68.0
Will Still,21,26,80.76923076923077
Willy Sagnol,27,39,69.23076923076923
Wim De Decker,11,12,91.66666666666666
Wim Jonk,18,19,94.73684210526315
Wouter Vrancken,54,73,73.97260273972603
Xabi Alonso,22,27,81.48148148148148
Xavi,46,54,85.18518518518519
Yannick Ferrera,41,55,74.54545454545455
Yaroslav Vyshnyak,21,26,80.76923076923077
Yilmaz Vural,18,24,75.0
Yossi Abukasis,13,13,100.0
Yuri Matveev,11,19,57.89473684210527
Yuri Semin,73,96,76.04166666666666
Yuriy Bakalov,21,29,72.41379310344827
